no_spm;sum(jumlah_debet)
00001/W44/SPM-LSNK/AGU/2017;151500000
00001/W44/SPM-PUP/FEB/2017;10000000
00001/W44/SPM-TUP-NIHIL/DES/2017;739440055
00001/W44/SPM-TUP/DES/2017;739440055
00001/W44/SPM-UP/FEB/2017;100000000
00002/BPS/SPM-GUP/MEI/2017;25980000
00002/BPS/SPM-LSK/DES/2017;190018000
00002/BPS/SPM-LSNK/AGU/2017;21485000
00002/BPS/SPM-TUP-NIHIL/DES/2017;200000000
00002/FEB/SPM-EM/DES/2017;103574595
00002/FEB/SPM-GUP/FEB/2017;375519734
00002/FEB/SPM-LS PGW/MAR/2017;73856235
00002/FEB/SPM-LSK/AGU/2017;9843822
00002/FEB/SPM-LSNK/AGU/2017;40800000
00002/FEB/SPM-TUP-NIHIL/OKT/2017;371775501
00002/FEB/SPM-TUP/SEP/2017;371775501
00002/FHU/SPM-EM/DES/2017;159132008
00002/FHU/SPM-LS PGW/MAR/2017;61474085
00002/FHU/SPM-LSK/AGU/2017;31475000
00002/FHU/SPM-LSNK/OKT/2017;22249290
00002/FHU/SPM-TUP/JUL/2017;487298000
00002/FIB/SPM-EM/DES/2017;55564237
00002/FIB/SPM-LS PGW/FEB/2017;24403843
00002/FIB/SPM-LSK/SEP/2017;49760000
00002/FIB/SPM-LSNK/OKT/2017;7875060
00002/FIB/SPM-TUP-NIHIL/DES/2017;1490371680
00002/FIB/SPM-TUP/NOV/2017;1490371680
00002/FIS/SPM-LS PGW/FEB/2017;42849189
00002/FIS/SPM-LSK/AGU/2017;88000800
00002/FIS/SPM-LSNK/OKT/2017;273600000
00002/FKE/SPM-LS PGW/MAR/2017;135518941
00002/FKE/SPM-LSK/SEP/2017;89331000
00002/FKE/SPM-LSNK/AGU/2017;20353000
00002/FKE/SPM-TUP-NIHIL/SEP/2017;1593005500
00002/FKE/SPM-TUP/AGU/2017;1593005500
00002/FKM/SPM-LS PGW/MAR/2017;37837436
00002/FKM/SPM-LSK/SEP/2017;66538000
00002/FKM/SPM-LSNK/OKT/2017;73000000
00002/FPK/SPM-EM/DES/2017;69955027
00002/FPK/SPM-GUP/FEB/2017;82639138
00002/FPK/SPM-LS PGW/FEB/2017;35763095
00002/FPK/SPM-LSNK/OKT/2017;616000000
00002/FPK/SPM-TUP-NIHIL/NOV/2017;182160500
00002/FPP/SPM-GUP/FEB/2017;123905706
00002/FPP/SPM-LS PGW/MAR/2017;30174433
00002/FPP/SPM-LSK/OKT/2017;197795000
00002/FPP/SPM-LSNK/OKT/2017;322000000
00002/FPS/SPM-LS PGW/MAR/2017;14129619
00002/FPS/SPM-LSK/OKT/2017;42322500
00002/FPS/SPM-LSNK/AGU/2017;21262500
00002/FPS/SPM-TUP-NIHIL/DES/2017;225000000
00002/FSM/SPM-LS PGW/MAR/2017;44684391
